,Time,VNE atom7 t_q = linear flat,VNE atom6 t_q = linear flat,VNE atom5 t_q = linear flat,VNE atom4 t_q = linear flat,VNE atom3 t_q = linear flat,VNE atom2 t_q = linear flat,VNE atom7 t_q = 7,VNE atom6 t_q = 7,VNE atom5 t_q = 7,VNE atom4 t_q = 7,VNE atom3 t_q = 7,VNE atom2 t_q = 7
0,0.0,2.643865135501522e-09,5.134027716412887e-09,5.134712725320123e-09,5.134690343484155e-09,5.134712727922208e-09,5.134027934120683e-09,2.643865135501522e-09,5.134027716412887e-09,5.134712725320123e-09,5.134690343484155e-09,5.134712727922208e-09,5.134027934120683e-09
1,0.001,1.3793953861258867e-07,2.66197698637477e-07,2.662460666866262e-07,2.6624084341168863e-07,2.6624606713418486e-07,2.661976986357423e-07,1.379395374919573e-07,2.661976968628549e-07,2.6624606569262965e-07,2.662408418886014e-07,2.662460832515007e-07,2.6624377120858245e-07
2,0.002,1.347827175833538e-06,2.5881037013023023e-06,2.588783116326543e-06,2.58866535830099e-06,2.588783116132254e-06,2.588103701083727e-06,1.347827174490862e-06,2.588103699779215e-06,2.5887831152301977e-06,2.5886653641053747e-06,2.588783955231877e-06,2.590192948247888e-06
3,0.003,6.613594032645054e-06,1.2642955037115572e-05,1.2647728106045253e-05,1.2646660856409364e-05,1.2647728106163214e-05,1.2642955037105164e-05,6.613594031583403e-06,1.2642955036418213e-05,1.264772810863346e-05,1.2646660942347565e-05,1.264773985260037e-05,1.2669439760429335e-05
4,0.004,2.2182377447534096e-05,4.222771903699199e-05,4.225021187735656e-05,4.2244164011693425e-05,4.225021187778677e-05,4.2227719037092604e-05,2.2182377446083867e-05,4.2227719036423e-05,4.225021190531336e-05,4.224416458354155e-05,4.2250300197374524e-05,4.2403549409958385e-05
5,0.005,5.832983401487385e-05,0.00011058791464780768,0.00011066984863675883,0.00011064375093368384,0.00011066984863682128,0.00011058791464768625,5.832983401833636e-05,0.00011058791465127366,0.00011066984883187359,0.00011064375338254093,0.0001106703041032081,0.00011137068496186453
6,0.006,0.00012936213787263784,0.0002442605581200151,0.0002445110357387481,0.0002444164580077471,0.00024451103573872035,0.0002442605581201504,0.00012936213790547268,0.0002442605581419281,0.00024451103677768093,0.0002444164655112796,0.00024451285317989013,0.0002469080511294554
7,0.007,0.00025273882225582134,0.00047523663728313813,0.0004759128713477806,0.00047561111035073454,0.0004759128713477667,0.00047523663728360303,0.0002527388224298488,0.0004752366373670814,0.0004759128758369535,0.00047561112708995393,0.00047591885963267633,0.0004825446382055506
8,0.008,0.0004473759991101556,0.0008375847230912541,0.0008392484985696863,0.0008383823063160285,0.0008392484985700888,0.000837584723091301,0.0004473759997941362,0.0008375847233586479,0.0008392485148575601,0.0008383823303053685,0.0008392653970020342,0.0008548185338168729
9,0.009000000000000001,0.000731342805632057,0.0013629682680482962,0.0013667681596774561,0.0013645068385442502,0.0013667681596774423,0.0013629682680481653,0.0007313428078685458,0.0013629682688386657,0.0013667682105887452,0.0013645068400017345,0.0013668101658017434,0.001398848869824723
10,0.01,0.0011192717565496335,0.0020756909771874592,0.002083829988506425,0.002078420531981889,0.002083829988506286,0.0020756909771865346,0.0011192717628973337,0.0020756909793797204,0.002083830128612324,0.002078420407492943,0.0020839240612186005,0.002143230845318103
