,Time,VNE atom7 t_q = linear flat,VNE atom7 t_q = 8,VNE atom6 t_q = linear flat,VNE atom6 t_q = 8,VNE atom5 t_q = linear flat,VNE atom5 t_q = 8,VNE atom4 t_q = linear flat,VNE atom4 t_q = 8,VNE atom3 t_q = linear flat,VNE atom3 t_q = 8,VNE atom2 t_q = linear flat,VNE atom2 t_q = 8
0,0.0,2.644443455011858e-09,2.644443455011858e-09,5.135164312872198e-09,5.135164312872198e-09,5.135864094684556e-09,5.135864094684556e-09,5.135845331481759e-09,5.135845331481759e-09,5.1358638769767595e-09,5.1358638769767595e-09,5.135164868417391e-09,5.135164868417391e-09
1,0.001,1.3805938431539488e-07,1.3805938487397584e-07,2.664319016659755e-07,2.6643190210312584e-07,2.6648319422471756e-07,2.66483194899525e-07,2.664787225672982e-07,2.664787233808835e-07,2.6648319432880097e-07,2.664832144082252e-07,2.6643190187414234e-07,2.6648418097532933e-07
2,0.002,1.3504552884395504e-06,1.3504552888905785e-06,2.5932115404608824e-06,2.5932115412831414e-06,2.5939553005664695e-06,2.593955300795453e-06,2.5938541453815467e-06,2.593854152205949e-06,2.593955300129319e-06,2.5939562374177605e-06,2.5932115402596545e-06,2.5956030347586145e-06
3,0.003,6.636525498503187e-06,6.636525497656642e-06,1.2687307875267756e-05,1.2687307874948567e-05,1.2692640194232607e-05,1.2692640196515503e-05,1.2691725777617263e-05,1.2691725869526382e-05,1.269264019446853e-05,1.2692653224538608e-05,1.268730787524347e-05,1.2717950548399304e-05
4,0.004,2.2302887244161906e-05,2.230288724306556e-05,4.245976968372117e-05,4.245976968341933e-05,4.248513844962165e-05,4.248513847993074e-05,4.247999965528715e-05,4.248000025606352e-05,4.2485138449843696e-05,4.248523582503494e-05,4.245976968416526e-05,4.266575921143753e-05
5,0.005,5.8788531855993864e-05,5.878853185904698e-05,0.00011146753071923643,0.0001114675307193197,0.00011155985211628444,0.00011155985232369492,0.0001115379762337658,0.0001115379787175845,0.00011155985211604158,0.00011156035185472951,0.00011146753071869867,0.00011239786351860404
6,0.006,0.00013075741653609252,0.00013075741657247314,0.0002469259124370758,0.00024692591244270326,0.00024720494824702344,0.00024720494934477033,0.0002471269608598399,0.00024712696790105126,0.00024720494824704425,0.0002472069388409909,0.0002469259124369891,0.00025012500843485386
7,0.007,0.0002563357125080351,0.00025633571269008393,0.00048208315438786134,0.00048208315438420454,0.0004828208995625305,0.0004828209042913034,0.00048257602163296123,0.0004825760344437102,0.0004828208995625305,0.00048282749414910175,0.0004820831543877156,0.0004910867806155843
8,0.008,0.00045553781283921846,0.00045553781355592293,0.0008530695182661866,0.0008530695181854751,0.0008548342721135527,0.0008548342893237998,0.000854140545201821,0.0008541405502932656,0.0008548342721133861,0.000854853194531352,0.0008530695182662577,0.0008747696109488272
9,0.009000000000000001,0.0007480726736551341,0.0007480726760217132,0.0013946147872055375,0.0013946147868391205,0.0013985181294607213,0.0013985181836113358,0.0013967238351881624,0.0013967237666245007,0.0013985181294612348,0.0013985663031649553,0.0013946147872056745,0.0014407896059584584
10,0.01,0.0011508278266501443,0.0011508278334419475,0.0021352272013558157,0.002135227200243377,0.002143319841954497,0.0021433199922169383,0.0021390512710904534,0.002139050929499037,0.002143319841954039,0.002143430763923787,0.0021352272013558295,0.0022239770362909054
11,0.011,0.0016753805995823531,0.0016753806169063842,0.0030925210406780564,0.0030925210380718304,0.0031083800721478927,0.003108380446153962,0.003098981580933658,0.0030989804915381594,0.0031083800721477886,0.0031086148114777626,0.0030925210406779215,0.0032492864140359016
12,0.012,0.0023258821861460444,0.0023258822261449097,0.004269363888172156,0.0042693638833720795,0.004298892511405333,0.004298893358422588,0.004279625206613043,0.0042796224101009665,0.004298892511405299,0.00429935521965652,0.004269363888172725,0.004527179933210824
13,0.013000000000000001,0.0030976064082124458,0.0030976064929737965,0.005651399972427412,0.005651399966014493,0.005703818415362764,0.005703820181705559,0.005666827246522671,0.005666821042145193,0.005703818415362161,0.005704677390202834,0.005651399972427738,0.006050084584956247
