,Time,VNE atom7 t_q = linear flat,VNE atom7 t_q = 10,VNE atom6 t_q = linear flat,VNE atom6 t_q = 10,VNE atom5 t_q = linear flat,VNE atom5 t_q = 10,VNE atom4 t_q = linear flat,VNE atom4 t_q = 10,VNE atom3 t_q = linear flat,VNE atom3 t_q = 10,VNE atom2 t_q = linear flat,VNE atom2 t_q = 10
0,0.0,2.6450587167596573e-09,2.6450587167596573e-09,5.136390708159605e-09,5.136390708159605e-09,5.137117976231759e-09,5.137117976231759e-09,5.1371065626186485e-09,5.1371065626186485e-09,5.137117974063354e-09,5.137117974063354e-09,5.1363905941015364e-09,5.1363905941015364e-09
1,0.001,1.3818703956634815e-07,1.3818704057248776e-07,2.6668454233477745e-07,2.666845437728632e-07,2.6674165009947515e-07,2.6674165100153135e-07,2.6673868897854336e-07,2.667386899291718e-07,2.6674164976814296e-07,2.6674167474989574e-07,2.666845431084641e-07,2.6674922794928113e-07
2,0.002,1.3532570012284029e-06,1.3532570013359557e-06,2.5987270539859497e-06,2.5987270549920893e-06,2.5995988269765513e-06,2.599598827882077e-06,2.599531205758898e-06,2.5995312147135408e-06,2.599598826997368e-06,2.5995999529057623e-06,2.598727054523714e-06,2.6017201651858113e-06
3,0.003,6.660999973456816e-06,6.660999974834186e-06,1.2735270525674608e-05,1.2735270526365028e-05,1.2741716314098456e-05,1.2741716319382423e-05,1.2741112853105474e-05,1.2741112957313783e-05,1.2741716314122742e-05,1.2741731723008715e-05,1.2735270525858489e-05,1.2774158052713397e-05
4,0.004,2.243169547083007e-05,2.2431695471850088e-05,4.271119983001448e-05,4.271119983127042e-05,4.274229881390951e-05,4.2742298849554605e-05,4.273902622833892e-05,4.273902687865899e-05,4.2742298814360535e-05,4.2742411847970785e-05,4.271119983000754e-05,4.2976846998152296e-05
5,0.005,5.927969364979968e-05,5.927969365639857e-05,0.00011242302903150675,0.00011242302902892548,0.00011253604500006953,0.00011253604522060145,0.00011252292674507336,0.00011252292919541884,0.00011253604500072178,0.00011253661352735034,0.000112423029031479,0.00011364507836801596
6,0.006,0.00013225459350327262,0.00013225459354095775,0.0002498304522203926,0.0002498304521781902,0.00025016621488391927,0.0002501662159911794,0.0002501230576986424,0.0002501230630749668,0.00025016621488405805,0.00025016843586520704,0.00024983045222038563,0.0002541217865964854
7,0.007,0.0002602046695020996,0.0002602046696786736,0.0004895734326311879,0.0004895734323746154,0.0004904320028756848,0.0004904320075284838,0.0004903082084253968,0.0004903082095048944,0.000490432002875324,0.0004904392410156472,0.0004895734326314446,0.0005019430770386857
8,0.008,0.00046434126831789574,0.00046434126900151557,0.000870091022183557,0.000870091021061465,0.0008720468067687157,0.0008720468234673304,0.0008717260531249868,0.0008717260040286903,0.0008720468067691112,0.0008720673730148246,0.0008700910221835848,0.0009007331345426035
9,0.009000000000000001,0.0007661740750481844,0.000766174077302853,0.001429599530452852,0.0014295995265561877,0.001433664909768824,0.0014336649619723987,0.0014328989226772698,0.0014328986583809593,0.0014336649097685394,0.0014337173344985202,0.0014295995304527721,0.0014968768472732215
10,0.01,0.0011850905039757567,0.0011850905104624013,0.0022014833879444064,0.0022014833764847017,0.0022093285299612034,0.0022093286745881735,0.0022076232893907116,0.0022076223519401014,0.0022093285299607315,0.0022094506542874315,0.0022014833879443994,0.002335250466601501
